"SFoxPC...1.","xxxstd","samp.depth"
2005,16.3157062956627,26
2004,16.1020394604372,29
2003,15.4435807943433,29
2002,16.3747008814827,29
2001,18.1227621924142,29
2000,17.5330229875083,29
1999,18.2153614378094,29
1998,17.9763233337666,29
1997,18.5661046094773,29
1996,18.102479395071,29
1995,17.7677529969399,29
1994,16.2684607975135,29
1993,15.6788570052311,29
1992,15.7917899342469,29
1991,16.288800748928,29
1990,18.274924388397,29
1989,18.7455611623817,29
1988,18.4228866290004,29
1987,17.6818475068338,29
1986,18.8940324546968,29
1985,18.9269882563524,29
1984,19.0188675745086,29
1983,19.9998329195992,29
1982,18.9292902987052,29
1981,18.2709601574536,29
1980,18.3947598848972,29
1979,18.4077841282871,29
1978,19.9317188813678,29
1977,19.5691654243096,29
1976,19.1523048315933,29
1975,20.2449406686776,29
1974,19.6900896571538,29
1973,19.5711547923263,29
1972,18.4594072976704,27
1971,19.3864782992006,26
1970,19.222447034932,25
1969,20.6135086698509,25
