"","SFoxPC...1.","xxxstd","samp.depth"
"1",2005,16.3157062956627,26
"2",2004,16.1020394604372,29
"3",2003,15.4435807943433,29
"4",2002,16.3747008814827,29
"5",2001,18.1227621924142,29
"6",2000,17.5330229875083,29
"7",1999,18.2153614378094,29
"8",1998,17.9763233337666,29
"9",1997,18.5661046094773,29
"10",1996,18.102479395071,29
"11",1995,17.7677529969399,29
"12",1994,16.2684607975135,29
"13",1993,15.6788570052311,29
"14",1992,15.7917899342469,29
"15",1991,16.288800748928,29
"16",1990,18.274924388397,29
"17",1989,18.7455611623817,29
"18",1988,18.4228866290004,29
"19",1987,17.6818475068338,29
"20",1986,18.8940324546968,29
"21",1985,18.9269882563524,29
"22",1984,19.0188675745086,29
"23",1983,19.9998329195992,29
"24",1982,18.9292902987052,29
"25",1981,18.2709601574536,29
"26",1980,18.3947598848972,29
"27",1979,18.4077841282871,29
"28",1978,19.9317188813678,29
"29",1977,19.5691654243096,29
"30",1976,19.1523048315933,29
"31",1975,20.2449406686776,29
"32",1974,19.6900896571538,29
"33",1973,19.5711547923263,29
"34",1972,18.4594072976704,27
"35",1971,19.3864782992006,26
"36",1970,19.222447034932,25
"37",1969,20.6135086698509,25
"38",1968,17.6804206204681,23
"39",1967,19.1975656028996,23
"40",1966,20.9432544561894,22
"41",1965,20.9598565567381,22
"42",1964,21.8131885543092,19
