"","P","r"
"WestFOX...1.",0.168335847143769,0.19588004052639
"xxxstd",NA,1
"samp.depth",0.141719523371458,0.208660051226616
"Year",0.168335847143769,0.19588004052639
"Annual",0.00333436261953435,0.403377562761307
"Summer",0.00310682461613254,0.40612006187439
"Autumn",0.020373796353472,0.323997169733047
"Winter",0.0257637100591144,0.31212043762207
"Spring",0.00387672888582724,0.397452741861343
"FSL_Year",0.168335847143769,0.19588004052639
"FSL_Annual",0.240410218201776,0.16737425327301
"FSL_Summer",0.185314723103388,0.190419107675552
"FSL_Autumn",0.438718957661009,0.111998349428177
"FSL_Winter",0.629511864151723,0.0699082538485527
"FSL_Spring",0.135391057671966,0.214125037193298
