"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",9.59283766895517,6.49262039379559,6.49854014320923,1.47615271392597,0.1399029
"FinFSLdat_AnnEsts",10.671452455146,5.39276150613663,5.39958139441958,1.97634810472064,0.0481154
"FinFSLdat_SpringDat",-1.74487273000803,2.2455972309483,2.24860156894638,0.77598128281375,0.43776
"FinFSLdat_SummerDat",3.49700055828279,3.8166027231558,3.82118541952345,0.915161180197036,0.360107
"FSL_months_Apr",2.36520322724304,3.77066292632899,3.77538317985607,0.626480310624579,0.5309999
"FSL_months_Jan",-1.27540037528573,2.93106459004293,2.9346119517149,0.434606140869978,0.6638483
"FSL_months_May",-0.447440389986348,3.50623465956469,3.51090003702945,0.127443215490955,0.8985896
"FSL_months_Oct",-3.70306688868734,3.5378835805628,3.54209241214978,1.04544615380033,0.2958168
"FSLdat_Autumn",-4.20725657066472,7.10288015641867,7.1118949914504,0.591580243482574,0.5541317
"s(Ages).1",9.2872073174602,1.22023554791084,1.22192863306629,7.60044986764492,0
"s(Ages).2",-13.1346989197449,3.01768052204419,3.02186983969004,4.346546878767,1.38e-05
"s(Ages).3",-7.81221993716977,0.988775834591666,0.990147368014593,7.88995677768103,0
"s(Ages).4",8.20344156433764,2.12631599852258,2.12926758345547,3.85270579803067,0.0001168
"s(Ages).5",6.36821954654127,1.05525089034524,1.05671430487947,6.02643450281258,0
"s(Ages).6",-7.54738028666156,1.92930088797027,1.93197948761111,3.90655301210981,9.36e-05
"s(Ages).7",5.34671323220751,1.20450235995256,1.20617419331923,4.43278695715919,9.3e-06
"s(Ages).8",-20.4196860101003,6.2778325806285,6.2865483570391,3.24815540267598,0.0011616
"s(Ages).9",-9.14744987268115,2.16582556147252,2.16883311265052,4.21768268813551,2.47e-05
"FinSouthSST_AnnEsts",0.186698451972364,0.363920829563633,0.364222248220797,0.51259485900264,0.6082348
"SST_South_Months_Jun",0.0814260281634715,0.200316315976764,0.200472375521094,0.406170815065259,0.6846171
