"WFoxPC...1.","xxxstd","samp.depth"
2004,15.8253293960186,16
2003,15.5914093537633,24
2002,15.2122199258558,24
2001,16.2225971268911,24
2000,16.9021523432261,24
1999,17.8459014484931,24
1998,18.1975380764054,24
1997,17.573687442749,24
1996,17.8856406578564,24
1995,16.9224591724913,24
1994,16.979947703957,24
1993,17.0645080501942,24
1992,16.7436294086681,24
1991,17.7353307313819,24
1990,17.6426093506502,24
1989,18.5201029859373,24
1988,17.6382994901439,24
1987,16.8238020141607,24
1986,16.6082504305338,24
1985,18.1007143548032,24
1984,18.7032623435627,24
1983,18.8136576823758,24
1982,17.5880689703597,24
1981,17.3656433643095,24
1980,17.4376935836747,24
1979,18.237960477767,24
1978,18.1233294804536,24
1977,17.9273784096645,24
1976,18.6652567011834,24
1975,17.3638102012674,24
1974,18.2224356435194,24
1973,18.9959735013847,24
1972,18.7168143562505,23
1971,19.6765630897833,22
1970,19.1845775113447,21
1969,20.3372390872954,21
1968,19.995249496021,19
1967,21.1033065567877,17
1966,21.6055690676445,17
1965,20.9713891559505,17
1964,20.3514377124665,15
1963,17.0524835811888,12
1962,17.4806468350165,11
1961,20.0422133261694,10
1960,19.1823206774538,9
1959,19.5754911909568,9
1958,22.3479167047396,9
1957,24.0826894432538,8
1956,22.7622509447731,8
1955,25.391683875466,7
