"WestFOX...1.","xxxstd","samp.depth"
2004,1.01759745375252,16
2003,0.94031491543178,24
2002,0.94547017960112,24
2001,0.966079860394501,24
2000,1.02501326132563,24
1999,1.05068800598452,24
1998,1.04947153063207,24
1997,1.02389879069464,24
1996,1.04570458416774,24
1995,0.984699678847755,24
1994,0.990399600458508,24
1993,0.98204611373156,24
1992,0.946856525183367,24
1991,1.01254333622212,24
1990,1.00805615744534,24
1989,1.04158717158608,24
1988,1.00728070413127,24
1987,0.956234181653256,24
1986,0.939217300348441,24
1985,1.0206455813061,24
1984,1.05265611230233,24
1983,1.0606072488445,24
1982,0.998794820859119,24
1981,0.995666903047637,24
1980,0.988798172357977,24
1979,1.02673064105432,24
1978,1.00222911792097,24
1977,0.992987183549338,24
1976,1.03282952352413,24
1975,0.949655553706483,24
1974,0.962816234740659,24
1973,0.996535857037703,24
1972,0.962276175938343,23
1971,1.00118679104055,22
1970,0.98193353791698,21
1969,0.990069752769719,21
1968,0.987657146290537,19
1967,0.979440318610491,17
1966,0.978125545972975,17
1965,1.00207336516668,17
1964,0.968078859911275,15
1963,0.904868811109462,12
1962,0.896865450015671,11
1961,0.995280222229641,10
1960,0.940077445510333,9
1959,0.90173669355707,9
1958,0.983906750669824,9
1957,1.05453031103962,8
1956,0.946713938860657,8
1955,1.03719983111433,7
